41151859, 41135665, 41133858, 41135002, 41134452, 41133415, 41133659, 41132740, 41133883,
9998199, 22198017, 49782955, 10161491, 49832920, 14496153, 49812547, 10250927, 9593364,
7397559, 11701994, 24612863, 7016960, 7803623, 6227598, 10690444, 7662549, 6859416,
7218607, 7998324, 15777748, 5405417, 7841638, 3263604, 6876726, 7207564, 6300724,
6173271, 5754803, 12174950, 4339037, 5763874, 2208224, 4896713, 6009789, 6469895,
6042197, 4909250, 9320790, 4135780, 5647453, 2680688, 3715893, 5984027, 5455386,
3283550, 974085, 1965898, 1351399, 1671978, 561193, 860335, 2472607, 2844713,
2721983, 516475, 976758, 674001, 1234808, 298486, 329781, 1333717, 2365235,
1286746, 322400, 444087, 237500, 686069, 144853, 202012, 682673, 1277678,
830889, 223869, 274119, 192060, 296654, 103757, 95563, 433465, 775366,
594024, 86747, 389431, 112948, 311941, 56139, 102447, 348437, 633985,
607963, 86019, 114305, 102484, 167216, 54195, 87756, 286372, 507957,
412199, 122919, 122040, 91175, 241295, 55721, 62072, 223911, 364866,
309857, 90736, 138732, 83644, 171176, 13101, 49182, 250707, 368456,
253971, 88061, 144277, 95440, 108013, 24022, 45014, 148795, 391803,
297771, 53612, 96694, 54703, 91482, 11146, 48743, 140155, 296611,
179792, 75090, 96558, 51715, 115491, 30418, 25206, 141657, 260843,
44588963, 44568553, 44565449, 44565848, 44572822, 44564421, 44561744, 44565698, 44564330,
10529258, 24386741, 53991433, 11518717, 53992842, 14137405, 54114327, 13303350, 13822156,
9540394, 12549732, 26190630, 7372046, 9575102, 6355485, 9823852, 8349618, 8514950,
7732507, 8587219, 17004382, 5854611, 7055835, 3269760, 7208716, 7447429, 6693261,
5772237, 6498553, 13109012, 5068149, 7000288, 3286154, 5370108, 7017627, 6032024,
6532514, 5011909, 10839958, 4582355, 5987556, 2656171, 4604818, 5106279, 6450861,
3171156, 1016416, 2387716, 1544623, 2846536, 454508, 866022, 2318261, 3152135,
2642513, 478241, 1089737, 509265, 1138111, 145779, 444448, 1078420, 2664505,
1367151, 237137, 434160, 269602, 674881, 121770, 252901, 736593, 1228504,
806625, 169935, 370266, 180873, 468579, 62558, 126357, 507548, 938710,
851959, 101055, 218742, 167655, 319003, 97918, 98600, 414470, 758782,
537583, 62481, 309300, 120066, 264869, 47431, 88797, 256102, 558010,
546697, 97753, 216833, 89337, 223067, 41082, 73778, 195542, 484594,
487278, 98669, 193029, 116601, 168910, 37574, 83034, 195119, 392731,
428259, 58302, 65867, 58763, 94175, 32661, 42317, 165451, 369454,
330848, 57094, 101238, 80622, 86023, 25343, 43324, 133642, 302661,
357120, 60421, 122785, 59314, 86359, 39212, 35022, 115675, 292129,
48027578, 48009068, 48012204, 48007541, 48008542, 48008226, 48007999, 48002309, 48003351,
15233127, 25833242, 58298318, 13197927, 58131447, 11944966, 58222503, 12314110, 14515914,
9148635, 12955764, 29252616, 7892129, 10214949, 6379651, 11138596, 9937227, 8749616,
7706117, 9037267, 18590478, 6344265, 8979513, 3797469, 8855455, 7779244, 7726206,
8216262, 6770361, 13784696, 5660518, 7524306, 2938458, 5411010, 7018603, 7278626,
6964942, 5453420, 11814203, 4975297, 6366293, 1879034, 4192466, 6788469, 6671405,
3564717, 1098504, 2522573, 1124953, 2103325, 551649, 971213, 2381064, 3116023,
2765762, 455561, 1206495, 799870, 1013981, 250613, 683567, 2128290, 2895645,
1608522, 258373, 539272, 378433, 538558, 109197, 217312, 682491, 1497102,
992050, 140817, 495442, 279358, 449114, 122029, 214466, 547183, 1077477,
739957, 106292, 321750, 136869, 265346, 55148, 91940, 304611, 817467,
608750, 138965, 185429, 130517, 203876, 39620, 111256, 255642, 589591,
567457, 142207, 175684, 90489, 172728, 68626, 54234, 258141, 545494,
